"","de","en","es","fr","hu","it","ja","ko","nl","pl","pt","ru","zh-tw","zh","en-gb","tr","uk","cz","sk","th","ro","oc","ar","id","vi","fi"
"Roundabout.Option:Put parking ban inside roundabouts","Parkverbot in Kreisverkehren festlegen","Put parking ban inside roundabouts","Prohibir estacionamientos dentro de las rotondas","Interdire le stationnement dans les ronds-points","A körforgalmakon belül parkolási tilalom elhelyezése","Vieta il parcheggio nelle rotonde","ラウンドアバウト内に駐車禁止を設置","회전교차로 내 주차 금지","Plaats parkeerverboden op rotondes","Ustaw zakaz parkowania na drogach wewnątrz ronda","Proibir o estacionamento na rotatória","Запретить парковку на круговом движение","圓環內禁止停車","禁止环岛内停车","Prevent cars from parking on the roundabout","Dönel kavşak içine park yasağı koy","Заборона паркування на кругових перехрестях","Zakáže parkování uvnitř kruhového objezdu","Zakáže parkovanie vo vnútri kruhového objazdu","ห้ามจอดรถในวงเวียน","Interzice parcatul într-un rond","","ﺭﺍﻭﺪﻟﺍ ﻞﺧﺍﺩ ﻑﻮﻗﻭ ﺮﻈﺣ ﻊﺿﻭ","Terapkan larangan parkir di dalam bundaran","Cấm đỗ xe bên trong vòng xuyến",""
"Roundabout.Option:Put parking ban on roundabout branches","Parkverbot an Zufahrtsstraße zu Kreisverkehren festlegen","Put parking bans on roundabout branches","Prohibir estacionamientos en las entradas y salidas de las rotondas","Interdire le stationnement sur les routes entrantes/sortantes du rond-point","A körforgalom bekötőútjain parkolási tilalom elhelyezése","Vieta il parcheggio sui bordi delle rotonde","ラウンドアバウト交差点の進入路に駐車禁止を設ける","회전교차로로 접근하는 도로에서 주차 금지","Verbied parkeren op wegen die de rotonde binnenkomen/verlaten","Ustaw zakaz parkowania na drogach dojazdowych/zjazdowych ronda","Proibir o estacionamento nas ruas de entrada e saída da rotatória","Запретить парковку вокруг и на кольцевой развязке","出入圓環的道路上禁止停車","禁止环岛内停车","Prevent cars from parking on roundabout branches","Dönel kavşak dallarına park yasağı koy","Встановити заборону паркування на кругових перехрестях","Zakáže parkování na okrajích kruhového objezdu","Zakáže parkovanie na okraji kruhového objazdu","วางมาตรการห้ามจอดรถในวงเวียน","Interzice parcatul pe benzile dintr-un rond","","ﺔﻳﺮﺋﺍﺪﻟﺍ ﻉﻭﺮﻔﻟﺍ ﻰﻠﻋ ﺮﻈﺣ ﻊﺿﻭ","Terapkan larangan parkir pada cabang-cabang bundaran","Cấm đỗ xe tại các ngã rẽ vòng xuyến",""
"VR.Option:No double crossings","Keine doppelten Übergänge","Remove widest crossing on transitions between two types of road","En una transición de segmento a segmento, solo los segmentos más pequeños muestran cruce peatonal","Dans une transition d'un segment à un autre, seul le plus petit segment aura un passage piéton","A szegmensek közötti átmenetnél csak a kisebb szegmens kap gyalogátkelőt.","Nessun doppio attraversamento","セグメント間の横断歩道が二重になるのを防止し、狭い道路側のみにする","구간이 바뀔 때 더 작은 구간에서만 교차로가 생성됩니다.","Geen dubbele kruisingen","Przejście dla pieszych tylko na węższym segmencie przy łączeniu segmentów różnej szerokości","Sem cruzamentos duplos","Без двойных пешеходных переходов","禁用雙重行人穿越道","禁用双方向人行横道","Remove widest crossing on transitions between two types of road","Çift kesişim olamaz","Заборонити подвійні пішохідні переходи","Žádné dvojité přecházení","Dvojité priechody pre chodcov nie sú možné","ไม่มีการข้ามสองครั้ง","Fără încrucișări duble","","ﺕﺎﻌﻃﺎﻘﺗ ﻰﻠﻋ ﻂﻘﻓ ﺮﻐﺻﻷﺍ ﺀﺰﺠﻟﺍ ﻞﺼﺤﻳ ، ﺀﺰﺟ ﻰﻟﺇ ﺀﺰﺟ ﻦﻣ ﻝﺎﻘﺘﻧﻻﺍ ﻲﻓ","Pada transisi ruas-ke-ruas, hanya ruas yang lebih kecil yang mendapatkan penyeberangan.","Không có nút giao giữa hai loại đường",""
"VR.Option:Dedicated turning lanes","Dedizierte Abbiegespuren","Dedicated turning lanes","Carriles dedicados para girar","Voies dédiées pour tourner","Dedikált kanyarodósávok","Corsie di svolta dedicate","専用の右左折レーン","회전 전용 차선","Toegewijde lijn om terug te draaien","Dedykowane pasy do skrętu","Faixas de curva dedicadas","Выделенные полосы для поворота","專用轉向車道","专用转弯车道","Dedicated turning lanes","Dönüş şeritleri ayrılır","Виділені смуги для руху в різних напрямках","Vyhrazené odbočovací pruhy","Vyhradené odbočovacie pruhy","เลนเลี้ยวเฉพาะ","Benzi speciale de întoarcere","","ةصصخملا ةراودلا تارمملا","Lajur belok khusus","Làn rẽ riêng",""
"General.Checkbox:Use UnifiedUI","UnifiedUI verwenden","Use UnifiedUI","Utilizar UnifiedUI","Utiliser 'UnifiedUI'","","Usa UnifiedUI","UnifiedUIを使用","UnifiedUI 사용","Gebruik UnifiedUI","Użyj UnifiedUI","Utilizar Ui unificada","Использовать UnifiedUI","將主選單圖示加入 UnifiedUI 選單","使用 UnifiedUI","Use UnifiedUI","UnifiedUI kullan","Розмістити кнопку TM:PE в панелі UnifiedUI","Použít UnifiedUI","Použi UnifiedUI","ใช้ UnifiedUI","Folosește UnifiedUI","","استخدام واجهة مستخدم موحدة","Gunakan UnifiedUI","Độ mờ giao diện",""
"Keybind.SpeedLimits:Decrease selected speed","Ausgewählte Geschwindigkeit verringern","Decrease selected speed","Reducir la velocidad seleccionada","Diminuer la vitesse sélectionnée","","Riduci la velocità selezionata","選択した速度を下げる","선택한 속도 제한 감소","Verlaag geselecteerde snelheid","Zmniejsz wybraną prędkość","Diminuir velocidade selecionada","Уменьшить выбранную скорость","收緊速限","降低目标车速","Decrease selected speed","Seçilen hız sınırını azaltmak için klavye kısayolu","Зменшити обрану швидкість","Sníží zvolenou rychlost","Znížiť zvolenú rýchlosť","ลดขีดจำกัดความเร็ว","Micșorează viteză selectată","","ﺓﺩﺪﺤﻤﻟﺍ ﺔﻋﺮﺴﻟﺍ ﺾﻔﺧ ","Kurangkan kecepatan","Giảm tốc độ đã chọn",""
"Keybind.SpeedLimits:Increase selected speed","Ausgewählte Geschwindigkeit erhöhen","Increase selected speed","Aumentar la velocidad seleccionada","Augmenter la vitesse sélectionnée","","Aumenta la velocità selezionata","選択した速度を上げる","선택한 속도 제한 증가","Verhoog geselecteerde snelheid","Zwiększ wybraną prędkość","Aumentar velocidade selecionada","Увеличить выбранную скорость","提高速限","提高目标车速","Increase selected speed","Seçilen hız sınırını artırmak için klavye kısayolu","Збільшити обрану швидкість","Zvýší zvolenou rychlost","Zvýšiť zvolenú rýchlosť","เพิ่มขีดจำกัดความเร็ว","Mărește viteza selectată","","ﺓﺩﺪﺤﻤﻟﺍ ﺔﻋﺮﺴﻟﺍ ﺓﺩﺎﻳﺯ","Tingkatkan kecepatan","Tăng tốc độ đã chọn",""
"KeybindCategory:SpeedLimits","Geschwindigkeitsbegrenzungen","Speed Limits","Límites de velocidad","Limites de Vitesse","","Limiti di velocità","制限速度","속도 제한","Snelheidslimieten","Limity prędkości","Limites de velocidade","Ограничения скорости","速限","限速","Speed Limits","Hız limitleri","Обмеження швидкості","Rychlostní limity","Rýchlostné obmedzenia","จำกัดความเร็ว","Limita de Viteza","","هذا عنوان مجموعة / قسم في خيارات التعديل علامة التبويب Keybinds التي تحتوي على العديد من اختصارات لوحة المفاتيح المتعلقة بأداة حدود السرعة","Batas Kecepatan","Giới hạn tốc độ",""
"General.Group:Localisation","Lokalisierung","Localization","Localización","Localisation","","General.Group:Localizzazione","言語設定","언어 설정","Lokalisatie","Lokalizacja","Localização","Локализация","語言翻譯","本地化","Localisation","Dil Ayarları","Локалізація","Lokalizace","Lokalizácia","ภาษาที่รองรับ","Localizare","","ﻊﻗﻮﻤﻟﺍ","Bahasa dan Lokalisasi","Vùng bản địa",""
"General.Group:Interface","Interface","Interface","Interfaz","Interface","","General.Group:Interfaccia","インターフェース","인터페이스","Bediening","Interfejs","Interface","Интерфейс","介面","接口","Interface","Arayüz","Інтерфейс","Rozhraní","Rozhranie","อินเตอร์เฟซ","Interfață","","ﻡﺪﺨﺘﺴﻤﻟﺍ ﻪﻬﺟﺍﻭ","Tampilan","Giao diện",""
"General.Group:Compatibility","Kompatibilität","Compatibility","Compatibilidad","Compatibilités","","General.Group:Compatibilità","互換性","호환성","Compatibiliteit","Zgodność","Compatibilidade","Совместимость","相容性","兼容性","Compatibility","Uyumluluk","Сумісність","Kompatibilita","Kompatibilita","ความเข้ากันได้","Compatibilitate","","ﻖﻓﺍﻮﺘﻟﺍ","Kompatibilitas","Khả năng tương thích",""
"General.Button:Help us translate on Crowdin","Hilf uns bei der Übersetzung auf Crowdin","Help us translate on Crowdin","Ayúdanos a traducir en Crowdin","Aidez-nous à traduire sur Crowdin","","Aiutaci a tradurre su Crowdin","Crowdinで翻訳を手伝ってください","Crowdin에서 번역을 도와주세요","Help ons vertalen op Crowdin","Pomóż w tłumaczeniu na Crowdin","Ajude-nos a traduzir no Crowdin","Помогите нам с переводом на Crowdin","提供翻譯協助","在 Crowdin 上帮助我们翻译","Help us translate on Crowdin","Crowdin'de tercüme etmemize yardım et","Допоможіть нам з перекладом на Crowdin","Pomozte nám s překladem na Crowdin","Pomôžte s prekladom na Crowdin","ช่วยเราแปลใน Crowdin","Ajută-ne să traducem pe Crowdin","","يظهر الزر في علامة تبويب الإعدادات العامة ضمن القائمة المنسدلة للغة. يؤدي النقر فوقه إلى تشغيل Crowdin Url","Bantu kami menerjemah di Crowdin","Giúp chúng tôi dịch trên Crowdin",""
"General.Button:View localisation guide","Übersetzungsleitfaden anzeigen","View localization guide","Ver guía de localización","Voir le guide des Localités","","Visualizza la guida alla localizzazione","ローカライズのガイドを表示","현지화 도움말 보기","Bekijk de lokalisatie handleiding","Zobacz przewodnik lokalizacji","Visualizar guia de localização","Руководство по локализации","關於多國語言翻譯","查看本地化指南","View localisation guide","Yerelleştirme kılavuzunu görüntüle","Інструкції з локалізації","Zobrazit návod pro překlad do jiného jazyka","Zobraziť sprievodcu s lokalizáciou","ดูคู่มือการแปลเป็นภาษาท้องถิ่น","Vezi ghidul de localizare","","يظهر الزر في علامة التبويب ""عام"" أسفل الزر Crowdin. يؤدي النقر فوقه إلى فتح صفحة الترجمة على موقع wiki الخاص بنا","Lihat petunjuk lokalisasi","Xem hướng dẫn bản địa hóa",""
"What's New?","Was gibt es Neues?","What's New?","¿Qué hay de nuevo?","Quoi de neuf ?","","Che c'è di Nuovo?","新着情報","새로운 기능","Wat is er nieuw?","Co nowego?","O que há de novo?","Что нового?","查看更新内容","查看更新内容","What's New?","Ne var ne yok?","Що нового?","Co je nového?","Čo je nové?","มีอะไรใหม่?","Ce este nou?","","ما الجديد؟","Apa yang baru?","Có gì mới?",""
"General.Slider:Window opacity","Fensterdeckkraft","Window opacity","Transparencia de ventana","Opacité de la fenêtre","","Opacità della finestra","ウィンドウの透明度","창 투명도","Ondoorzichtigheid van venster","Przeźroczystość okna","Opacidade da Janela","Прозрачность окна","視窗不透明度","界面不透明度","Window opacity","Pencere opaklığı","Непрозорість вікна","Průhlednost okna","Priehľadnosť okna","ความโปร่งใสของหน้าต่าง","Transparență Ferestrei","","","Opasitas Jendela","Độ mờ cửa sổ",""
"General.Slider:Overlay opacity","Deckkraft des Overlays","Overlay opacity","Transparencia de iconos superpuestos","Opacité de l'overlay","","Opacità della sovrapposizione","オーバーレイの透明度","오버레이 투명도","Ondoorzichtigheid van overlay","Przezroczystość nakładki","Opacidade de sobreposição","Прозрачность оверлея","疊視圖層不透明度","图层不透明度","Overlay opacity","Kaplama opaklığı","Непрозорість оверлею","Průhlednost překrytí","Priehľadnosť prekrytia","ความโปร่งใสของการวางซ้อน","Transparență suprapuneri","","","Opasitas overlay","Độ mờ hình nổi",""
"Checkbox:Use Steam Overlay to show TM:PE website links","Verwende das Steam Overlay um TM:PE Webseiten Links anzuzeigen","Use Steam Overlay to show TM:PE website links","Usar 'Steam Overlay' para mostrar los enlaces web de TM:PE","Utiliser l'overlay Steam pour afficher les liens du site Web TM:PE","","Usa la Sovrapposizione di Steam per mostrare i link del sito web di TM:PE","SteamオーバーレイでTM:PEウェブサイトを開く","스팀 오버레이에서 TM:PE 웹사이트 열기","Gebruik Steam Overlay om TM:PE website links te tonen","Użyj nakładki Steam aby otworzyć linki do stron TM:PE","Use a sobreposição do Steam para mostrar links do site TM:PE","Использовать оверлей Steam для открытия сайта TM:PE","超連結在Steam介面打開","使用 Steam 界面打开 TM:PE 网站","Use Steam Overlay to show TM:PE website links","TM:PE web sitesi bağlantılarını göstermek için Steam Overlay'i kullanın","Використовувати Оверлей Steam для відкриття вебпосилань TM:PE","Použít překrytí službou Steam k zobrazení odkazů TM:PE","Na zobrazenie odkazov TM:PE použiť prekrytie služby Steam","เปิดลิงค์ด้วย เบราว์เซอร์ของ สตีม","Folosește Steam Overlay pentru a afișa link-uri TM:PE","","","Gunakan Steam Overlay untuk menunjukkan tautan dari situs web TM:PE","",""
"VR.Group:Highways","Autobahnen","Highways","Autopistas","Autoroutes","","Autostrade","高速道路","고속도로","Snelwegen","Autostrady","Avenidas","Шоссе","高速公路","高速公路选项","Motorways","Karayolları","Шосе","Dálnice","Ďiaľnice","ทางหลวง","Autostrăzi","","","Jalan Raya","Cao tốc",""
"Overlays.Checkbox:Show default speed with customised speeds","Zeige Standardgeschwindigkeiten zusammen mit angepassten Geschwindigkeiten","Show default speed with customized speeds","Mostrar velocidades predeterminadas con velocidades personalizadas","Afficher la vitesse par défaut avec les vitesses personnalisées","","Mostra la velocità predefinita con le velocità personalizzate","カスタマイズした速度をデフォルトで表示","기본 속도와 사용자 지정한 속도 표시","Toon standaardsnelheid met aangepaste snelheden","Pokaż domyślną prędkość wraz z dostosowanymi prędkościami","Mostrar velocidades padrões com velocidades customizadas","Показывать скорость по умолчанию вместе с настроенной скоростью","同時顯示預設及自訂速限","同时显示自定义速度和默认速度","Show default speed with customised speeds","Özelleştirilmiş hızlarla varsayılan hızı göster","Показувати стандартну швидкість разом з модифікованою","Zobrazí vychozí hodnoty rychlosti a možnosti její úpravy","Zobrazenie predvolenej rýchlosti s prispôsobenými rýchlosťami","แสดงทั้ง ความเร็วของที่ตั้งไว้เบื้องต้นและ ความเร็วที่เปลี่ยนเป็นกรณีพิเศษ","Arată viteza implicită cu viteze personalizate","","","Tampilkan kecepatan default dengan kecepatan yang telah disesuaikan","Hiện tốc độ mặc định với tốc độ được tùy chỉnh",""
"Overlays.Checkbox:Show pathfinder stats","Zeige Pfadfinder-Statistiken","Show pathfinder stats","Mostrar estadísticas del buscador de rutas","Afficher les statistiques de la recherche de chemins","","Mostra le statistiche del pathfinder","経路探索の統計情報を表示","패스파인더 상태 표시","Toon padvinder statistieken","Pokaż statystyki odnajdywania ścieżek","Mostrar status de trilhas","Показывать статистику поиска пути","顯示尋徑數據","显示寻路器状态","Show pathfinder stats","Yol bulucu istatistiklerini göster","Показувати статистику пошуку шляху","Zobrazit statistiky vyhledávání cest","Zobraziť štatistiky vyhľadávania ciest","เปิดใช้เพื่อ แสดงสภาพการตรวจช่องทางเดินของพาหนะ","Arată statistici de selectare a drumului","","","Tampilkan statistik pathfinder","",""
"Group:Configuration","Konfiguration","Configuration","Configuración","Configuration","","Configurazione","設定","설정","Configuratie","Konfiguracja","Configurações","Конфигурация","配置","全局配置","Configuration","Yapılandırma","Конфігурація","Konfigurace","Konfigurácia","การกำหนดค่า","Configurare","","","Konfigurasi","Cấu hình",""
"This setting can only be changed in-game.","Diese Einstellung kann nur im Spiel geändert werden.","This setting can only be changed after loading a saved game or starting new game.","Esta configuración solo puede cambiarse en el juego.","Ce paramètre ne peut être modifié que dans une partie.","","Quest'impostazione è modificabile solo in gioco.","この設定はゲーム内でのみ変更可能","이 설정은 게임 내에서만 변경할 수 있습니다.","Deze instelling kan alleen in het spel worden veranderd.","To ustawienie może być zmienione tylko w grze — po wczytaniu zapisu gry lub rozpoczęciu nowej.","Estas opções somente podem ser modificadas dentro do jogo.","Этот параметр может быть изменен только в игре.","只能在城市中設定","此设置只能在游戏中更改。","This setting can only be changed after loading a saved game or starting new game.","Bu ayar yalnızca oyun içinde değiştirilebilir.","Ці налаштування можуть буди змінені тільки під час гри.","Toto nastavení může být změněno pouze ve hře.","Toto nastavenie je možné zmeniť len v hre.","ตัวเลือกนี้เปลี่ยนได้เฉพาะเมื่อเข้าเกมส์แล้ว","Această setare poate fi schimbată doar în joc.","","","Pengaturan ini hanya dapat diubah saat berada dalam game.","Cài đặt này chỉ có thể thay đổi được khi đang chơi.",""
"Group:Tools","Werkzeuge","Tools","Herramientas","Outils","","Strumenti","ツール","도구","Hulpmiddelen","Narzędzia","Ferramentas","Инструменты","工具","道路工具","Tools","Araçlar","Інструменти","Nástroje","Nástroje","คำสั่งต่าง ๆ","Instrumente","","","Peralatan","Công cụ",""
"Group:Despawn","Despawnen","Despawn","Desaparecer vehículos","Disparition","","Despawn","車両の除去","디스폰","Verdwijning","Usuwanie pojazdów","Desinvocar","Удаление","消除載具","清理车辆","Despawn","Umutsuzluk","Видалення","Vynulovat","Resetovať","กำจัดทิ้งได้เมื่อใช้เสร็จ","Înlătura","","","Hilangkan","",""
"Despawn.Checkbox:All vehicles","Alle Fahrzeuge","All vehicles","Todos los vehículos","Tous les véhicules","","Tutti i veicoli","全ての車両","모든 차량","Alle voertuigen","Wszystkie pojazdy","Todos os veículos","Все транспортные средства","全部","所有车辆","All vehicles","Tüm araçlar","Всі транспортні засоби","Všechny vozidla","Všetky vozidlá","พาหนะทุกชนิด","Toate vehiculele","","","Semua kendaraan","Tất cả phương tiện",""
"Despawn.Checkbox:Road vehicles","Straßenfahrzeuge","Road vehicles","Vehículos de carreteras","Véhicules sur les routes","","Veicoli stradali","走行中の車両","도로 차량","Wegvoertuigen","Pojazdy drogowe","Veículos rodoviários","Дорожные транспортные средства","道路上的車輛","路上的车辆","Road vehicles","Karayolu taşıtları","Дорожні транспортні засоби","Silniční vozidla","Cestné vozidlá","พาหนะ บนท้องถนน","Vehicule rutiere","","","Kendaraan di jalanan","Phương tiện đường bộ",""
"Despawn.Checkbox:Parked vehicles","Geparkte Fahrzeuge","Parked vehicles","Vehículos aparcados","Véhicules stationnés","","Veicoli parcheggiati","駐車中の車両","주차된 차량","Geparkeerde voertuigen","Zaparkowane pojazdy","Veículos estacionados","Припаркованные транспортные средства","停泊的車輛","已停泊车辆","Parked vehicles","Park edilmiş taşıtlar","Припарковані транспортні засоби","Zaparkovaná vozidla","Zaparkované vozidlá","พาหนะ ที่จอดอยู่","Vehicule parcate","","","Kendaraan terparkir","Phương tiện đang đỗ",""
"Despawn.Checkbox:Service vehicles","Service-Fahrzeuge","Service vehicles","Vehículos de servicios","Véhicules de service","","Veicoli di servizio","都市サービスの車両","공공서비스 차량","Dienstvoertuigen","Pojazdy serwisowe","Veículos de serviço","Служебные транспортные средства","市政服務車輛","服务车辆","Service vehicles","Servis taşıtları","Службові транспортні засоби","Vozidla městských služeb","Servisné vozidlá","พาหนะ สาธารณูปโภค","Autoutilitare","","","Kendaraan dinas","Phương tiện dịch vụ",""
"Despawn.Checkbox:Public Transport vehicles","ÖPNV Fahrzeuge","Public Transport vehicles","Vehículos de transporte público","Véhicules de transport en commun","","Veicoli di Trasporto Pubblico","公共交通の車両","대중교통 차량","Voertuigen van openbaar vervoer","Pojazdy transportu publicznego","Veículos de transporte público","Общественный транспорт","公共交通工具","公共交通工具","Public Transport vehicles","Toplu Taşıma araçları","Громадський транспорт","Vozidla hromadné dopravy","Vozidlá verejnej dopravy","พาหนะ ขนส่งมวลชน","Vehicule de transport public","","","Kendaraan transportasi publik","Phương tiện công cộng",""
"Despawn.Checkbox:Passenger Trains","Personenzüge","Passenger Trains","Trenes de pasajeros","Trains de passagers","","Treni Passeggeri","旅客列車","여객열차","Passagierstreinen","Pociągi pasażerskie","Trens de Passageiros","Пассажирские поезда","客運列車","客运火车","Passenger Trains","Yolcu Trenleri","Пасажирські поїзди","Osobní vlaky","Osobné vlaky","รถไฟ โดยสาร","Trenuri de pasageri","","","Kereta penumpang","Tàu hỏa chở khách",""
"Despawn.Checkbox:Cargo Trains","Güterzüge","Cargo Trains","Trenes de Carga","Trains de marchandises","","Treni Cargo","貨物列車","화물열차","Vrachttreinen","Pociągi towarowe","Trens de Carga","Despawn.Checkbox:Грузовые поезда","貨運列車","货运火车","Cargo Trains","Kargo Trenleri","Товарні поїзди","Nákladní vlaky","Nákladné vlaky","รถไฟ ขนส่งสินค้า","Trenuri de marfa","","","Kereta kargo","Tàu hỏa chở hàng",""
"Despawn.Checkbox:Aircraft","Flugzeuge","Aircraft","Vehículos aéreos","Avions","","Aereo","航空機","항공기","Vliegtuigen","Samoloty","Aeronave","Самолеты","飛行載具","飞机","Aircraft","Uçak","Літаки","Letadla","Lietadlá","อากาศยาน","Avioane","","","Pesawat udara","Phương tiện bay",""
"Despawn.Checkbox:Ships","Schiffe","Ships","Barcos","Bateaux","","Navi","船舶","선박","Schepen","Statki","Navios","Despawn.Checkbox:Корабли","船","船舶","Ships","Gemiler","Кораблі","Lodě","Lode","เรือ","Vapoare","","","Kapal","Tàu thủy",""
"Despawn.Button:Despawn","Despawnen","Despawn","Desaparecer vehículos","Faire disparaitre","","Despawn","車両を除去","디스폰","Verdwijning","Usuń pojazdy","Desinvocar","Удалить","消除","消失","Despawn","Umutsuzluk","Видалити","Vynulovat","Resetovať","กำจัดทิ้งในทันที","Înlătura","","","Hilangkan","",""
"Keybind:Overground view","Oberirdische Ansicht","Overground view","Vista normal","Vue aérienne","","Vista superficiale","地上表示","지상 보기","Bovengronds overzicht","Widok na powierzchni","Visão geral","Подземные вид","地面視圖","地面视图","Overground view","Yer üstü görünümü","Надземний вид","Přehled z výšky","Nadzemný pohľad","มุมมอง เหนือภาคพื้น","Vizualizare suprafata","","","Pemandangan diatas tanah","Chế độ xem mặt đất",""
"Keybind:Underground view","Unterirdische Ansicht","Underground view","Vista bajo tierra","Vue souterraine","","Vista sotterranea","地下表示","지하 보기","Ondergronds overzicht","Widok podziemny","Visão subterrânea","Надземный вид","地下視圖","地下视图","Underground view","Yeraltı görünümü","Підземний вид","Přehled z podzemí","Podzemný pohľad","มุมมอง ใต้ดิน","Vizualizare subteran","","","Pemandangan bawah tanah","Chế độ xem lòng đất",""
"Checkbox.Tooltip:When disabled, website links will open in your default web browser","Wenn deaktiviert, werden Webseiten-Links im Standard-Webbrowser geöffnet","When disabled, website links will open in your default web browser","Cuando está desactivado, los enlaces de la página web se abrirán en su navegador predeterminado","Si désactivé, les liens du site Web s'ouvriront dans votre navigateur web par défaut","","Quando disabilitati, i link del sito web si apriranno nel tuo browser web predefinito","無効にすると、Webサイトのリンクはデフォルトのブラウザで開きます","꺼져 있으면 기본 브라우저로 웹사이트가 열립니다.","Indien uitgeschakeld, zullen links naar websites worden geopend in uw standaard webbrowser","Gdy wyłączone, linki do strony zostaną otwarte w domyślnej przeglądarce internetowej","Quando desabilitado, links do site serão abertos em seu navegador padrão","Если отключено, ссылки будет открываться в браузере по умолчанию","取消選擇以使用瀏覽器開啟","禁用后，网页将在默认浏览器中打开","When disabled, website links will open in your default web browser.","Devre dışı bırakıldığında, web sitesi bağlantıları varsayılan web tarayıcınızda açılır","Коли вимкнено, посилання на вебсайти будуть відкриватися в типовому браузері","Pokud je tato volba vypnuta, odkazy se otevřou ve výchozím webovém prohlížeči","Keď je táto možnosť zakázaná, odkazy na webové stránky sa budú otvárať vo Vašom predvolenom webovom prehliadači","ถ้าปิดตัวเลือกนี้ หน้าเวป จะถูกเปิดด้วย browser แทน","Când este dezactivat, link-urile de la website se vor deschide în browser-ul web implicit","","","Saat nonaktif, tautan situs web akan dibuka dengan browser default anda","",""
"Popup.Title:TM:PE Pathfinder Updated","TM:PE Pfadfinder aktualisiert","TM:PE Pathfinder Updated","Buscador de rutas del TM:PE actualizado","Recherche de chemins TM:PE mis à jour","","Pathfinder di TM:PE Aggiornato","TM:PEの経路探索を更新しました","TM:PE 패스파인더가 업데이트 되었습니다.","TM:PE Padvinder bijgewerkt","Zaktualizowano proces odnajdywania ścieżek TM:PE ","Trilhas Atualizadas","Поисковик пути обновлен","TM:PE 尋徑系統已更新","TM:PE 寻路者已更新","TM:PE Pathfinder Updated","TM:PE Yol Bulucu Güncellendi","Засіб пошуку шляху оновлено","Hledání cest pro TM:PE bylo aktualizováno","","การบริหารเส้นทางเดินทาง ของมอด TM:PE ได้ถูกปรับเปลี่ยนใหม่","TM:PE Pathfinder actualizat","","","Pathfinder TM:PE Telah Diperbarui","",""
"Popup.Message:Some vehicles had broken routes:","Einige Fahrzeuge hatten fehlerhafte Routen:","Some vehicles had broken routes:","Algunos vehículos tienen rutas rotas:","Certains véhicules avaient des itinéraires brisés :","","Alcuni veicoli avevano percorsi corrotti:","経路が壊れている車両：","경로가 끊어진 차량:","Sommige voertuigen hadden gebroken routes:","Niektóre pojazdy miały uszkodzone trasy:","Alguns veículos tÅem rotas quebradas:","Транспортные средства, которые использовали устаревшие направления, были удалены:","一些載具出現尋徑問題","一些车辆已经将路线中断：","Some vehicles had broken routes:","Bazı araçların rotaları bozuktu:","Деякі транспортні засоби мали неправильний шлях:","Některé vozidla mají špatné trasy:","Niektoré vozidlá majú poškodené trasy:","พาหนะต่อไปนี้ ไม่อาจไปสู่เป้าหมายได้","Unele vehicule aveau rute care nu funcționau:","","","Beberapa kendaraan memiliki rute yang rusak:","",""
"Popup.Message:We've despawned them to prevent further issues. New vehicles will automatically spawn to replace them.","Diese Fahrzeuge wurden despawned um weitere Probleme zu verhindern. Neue Fahrzeuge werden automatisch spawnen, um diese zu ersetzen.","We've despawned them to prevent further issues. New vehicles will automatically spawn to replace them.","Hemos desaparecido vehículos para evitar futuros problemas. Nuevos vehículos aparecerán automáticamente para reemplazarlos.","Nous les avons supprimés pour éviter d'autres problèmes. De nouveaux véhicules apparaîtront automatiquement pour les remplacer.","","Li abbiamo rimossi per prevenire ulteriori problemi. Saranno automaticamente generati dei nuovi veicoli per sostituirli.","問題発生を防ぐために車両を消しました。代替する車両が自動で出発します。","문제 예방을 위해 차량을 삭제했습니다. 대체할 차량이 자동으로 출발합니다.","We hebben ze verwijderd om verdere problemen te voorkomen. Nieuwe voertuigen zullen automatisch verschijnen om ze te vervangen.","Zostały one usunięte, aby zapobiec dalszym problemom. Nowe pojazdy pojawią się automatycznie, aby je zastąpić.","Nós eliminamos eles para prevenir problemas futuros. Novos veículos aparecerão automaticamente para substituí-los.","Мы удалили их для предотвращения дальнейших проблем. Новые траспортные средства на замену им будут появляться автоматичеки.","出現尋徑問題的載具已被消除，將會重新生成它們。","为避免产生进一步问题，我们已经自动将它们移除。将自动生成新的车辆以替代它们。","We've despawned them to prevent further issues. New vehicles will automatically spawn to replace them.","Başka sorunları önlemek için onları umutsuzluğa düşürdük. Yeni araçlar otomatik olarak bunların yerini alacak.","Ми видалили їх, задля запобігання подальших проблем. Новий транспорт автоматично з'явиться для заміни.","Vynulovali jsme počet vozidel na silnici abysme zabránili dalším problémům. Nová vozidla se zrodí automaticky aby jej nahradili.","Resetovali sme počet vozidiel na cestách, aby sme zabránili ďalším problémom. Na miesto nich sa automaticky objavia nové vozidlá.","พาหนะถูกลบจากเกมส์ เพื่อขจัดปัญหาต่อเนื่อง พาหนะใหม่ จะกำเนิดมาแทนที่โดยอัตโนมัติ","Le-am înlăturat pentru a preveni și mai multe probleme.Noile vehicule vor apărea automat că să le înlocuiască.","","","Kami telang menghilangkan mereka untuk mencegah masalah lebih lanjut. Kendaraan baru akan otomatis muncul untuk menggantikannya.","",""
