English,"Chinese Simplified","Chinese Traditional",Dutch,English,"English, United Kingdom",French,German,Hungarian,Italian,Japanese,Korean,Polish,Portuguese,Russian,Spanish,File
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_AddStep,添加定时,"Add a timed step","Add a timed step","Add a timed step","Add a timed step","Ajouter une étape chronométrée","Füge einen neuen Zeitschritt hinzu","Adjon hozzá egy időzített lépést","Add a timed step",時間設定を追加する,"시간 구성하는 방법","Dodaj krok","Add a timed step","Добавить временной шаг","Add a timed step",Strings.csv
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_AddStep,"1. 单击红绿灯来切换他们的状态;使用""改变模式""按钮来添加定向的红绿灯\n2. 输入一个最小和最大区间：经过最小时间后红绿灯将统计并比较一段时间内的来车\n3. 可选红绿灯变换类型：默认情况下通行车辆少于等待车辆时变换\n4. 可选调整红绿灯的敏感度：例如移动滑条至左侧来使自定时红绿灯对等待车辆较不敏感","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. Pendant le jeu, cliquez sur les feux de circulation pour changer leur état. Utilisez le bouton ""Changer de mode"" pour ajouter des feux de circulation directionnels.\n2. Entrez à la fois une durée minimale et maximale pour l'étape. Après le temps minimum écoulé, le feu de circulation comptera et comparera les véhicules qui approchent.\n3. En option, sélectionnez un type de changement d'étape. Par défaut, l'étape change si à peu près moins de véhicules sont en train de rouler qu'en attente.\n4. En option, ajustez la sensibilité du feu. Par exemple, déplacez le curseur vers la gauche pour le rendre moins sensible aux véhicules en attente.","1. Klick auf eine Ampel innerhalb des Overlays, um ihren Zustand zu ändern. Verwende die ""Change mode""-Schaltfläche im Overlay, um Ampeln für verschiedene Richtungen hinzuzufügen.\n2. Gebe eine Minimal- und Maximaldauer für den Zeitschritt ein. Sobald die Minimalzeit verstrichen ist, wird die Ampelschaltung die ankommendenen Fahrzeuge messen und die Zahlen für alle Richtungen miteinander vergleichen.\n3. (optional) Konfiguriere die adaptive Schrittumschaltung. Im Standard wird der Schritt gewechselt, wenn (grob) weniger Fahrzeuge die Kreuzung durchqueren als Fahrzeuge warten.\n4. (optional) Konfiguriere die Sensitivität der Ampelschaltung. Ziehe den Regler z.B. nach links, um die Ampel weniger sensibel für wartende Fahrzeuge zu machen.","1. A játékon belüli átfedésben kattintson a közlekedési lámpákra az állapotuk megváltoztatásához. Használja a „Módmód” gombot az irányjelző lámpák hozzáadásához. \n2. Írja be a lépés minimális és maximális időtartamát is. A perc után eltelt az idő, a lámpánál számít és összehasonlítják a közeledő járműveket. \n3. Opcionálisan válassza ki a lépésváltás típusát. Alapértelmezés szerint a lépés megváltozik, ha körülbelül kevesebb jármű vezet, mint várakozik. \n4. Opcionálisan állítsa be a fény érzékenységét. Például mozgassa a csúszkát balra, hogy az időzített jelzőlámpa kevésbé érzékeny legyen a várakozó járművekre.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. ゲーム内オーバーレイ内で、信号機をクリックして状態を変更します。 矢印信号を追加するには、「モードの変更」ボタンを使用します。\n2. ステップの最短時間と最長時間の両方を入力します。 最短時間が経過すると、信号機が接近してくる車両を数えて比較します。\n3. 必要に応じて、ステップ切り替えタイプを選択します。 デフォルトでは、待っているよりもおおよそ少ない車両が運転している場合、ステップは変わります。\n4. 必要に応じて、感度を調整してください。 たとえば、スライダーを左に動かすと、待機中の車両に対するタイムシグナルの感度が低くなります。","1. 신호등 변경 툴에서, 신호등을 클릭하여 신호를 변경할 수 있습니다. ""Change mode""를 클릭하면 신호등 방향을 구체적으로 설정 할 수 있습니다\n2. 최소시간과 최대시간은 분으로 구성되어 있습니다. 시간이 경과되면 접근하는 차량 수를 신호등이 비교를 합니다.\n3. 설정을 통해 다음단계로 어떻게 넘어갈 것인지 구성하십시오. 기본적으로는 운전하는 차량 수보다 대기 중인 차량수가 많으면 다음 단계로 변경됩니다.\n4. 신호등 주기 설정을 조절할 수 있습니다. 예를 들어,  슬라이드를 왼쪽으로 움직이게 하면 대기중인 차가 신호가 변경된 후 덜 혼잡하게 지나갈 수 있습니다.","1. W ramach nakładki, kliknij na sygnalizatorze, aby zmienić jego stan. Użyj przycisku ""Zmiana trybu"", aby dodać kierunkowe sygnalizatory.\n2. Ustaw minimalny oraz maksymalny czas aktualnego kroku. Po upłynięciu minimalnego czasu sygnalizacja zacznie zliczać i porównywać ilość nadjeżdżających pojazdów.\n3. Opcjonalnie, wybierz tryb zmiany kroku. Domyślnie, krok zostaje zmieniony jeśli liczba poruszających się pojazdów jest dużo mniejsza niż oczekujących.\n4. Opcjonalnie, możesz dostosować czułość. Na przykład, przesuń suwak w lewo by zmniejszyć czułość na oczekujące pojazdy.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.","1. Внутри игрового оверлея нажмите на светофоры, чтобы изменить их состояние. Используйте кнопку ""Изменить режим"", чтобы добавить стационарные светофоры.\n2. Введите как минимальную, так и максимальную продолжительность для шага. Очень скоро светофор начнёт считать и сравнивать приближающиеся транспортные средства.\n3. (опционально) Настройте адаптивное шаговое переключение. По умолчанию этот шаг изменяется когда, примерно, меньше транспортных средств пересекает перекрёсток, чем ожидающего транспорта.\n4. При необходимости отрегулируйте чувствительность переключения. Например, переместите ползунок влево, чтобы сделать настраиваемый светофор менее чувствительным к ожидающему транспорту.","1. Within the in-game overlay, click on the traffic lights to change their state. Use the ""Change mode"" button to add directional traffic lights.\n2. Enter both a minimum and maximum duration for the step. After the min. time has elapsed the traffic light will count and compare approaching vehicles.\n3. Optionally, select a step switching type. Per default, the step changes if roughly less vehicles are driving than waiting.\n4. Optionally, adjust the light's sensitivity. For example, move the slider to the left to make the timed traffic light less sensitive for waiting vehicles.",Strings.csv
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_Copy,复制自定时红绿灯,"Copy a timed traffic light","Copy a timed traffic light","Copy a timed traffic light","Copy a timed traffic light","Copier un feu de circulation chronométré","Kopiere eine zeitgesteuerte Ampel","Másolja az időzített jelzőlámpát","Copy a timed traffic light",時間設定付き信号をコピーする,"신호등 시간표 복제 방법","Kopiuj czasową sygnalizację","Copy a timed traffic light","Скопируйте настраиваемый светофор","Copy a timed traffic light",Strings.csv
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_Copy,"单击另一个路口来粘贴。\n\n任意位置单击右键来取消","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Cliquez sur un autre carrefour pour coller le feu de circulation chronométré.\n\nCliquez n'importe où avec le bouton secondaire de la souris pour annuler l'opération.","Klicke auf eine andere Kreuzung, um die Ampelschaltung dort einzufügen.\n\nKlicke irgendwo mit der sekundären Maustaste, um die Operation abzubrechen.","Kattintson egy másik kereszteződésre az időzített jelzőlámpa beillesztéséhez. \n\nKattintson a másodlagos egérgombbal bárhol a művelet megszakításához.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","別の交差点をクリックして時間設定付き信号を貼り付けます。\n\n操作をキャンセルするには、マウスの右ボタンで任意の場所をクリックします。","클릭을 통해 다른 교차로에 같은 신호등 시간표를 적용할 수 있습니다.\n\n원하는 곳을 클릭하여 복제한 후 마우스 우클릭을 통해 복제를 종료할 수 있습니다.","Kliknij na innym skrzyżowaniu, aby wkleić skopiowane ustawienie.\n\nKliknij gdziekolwiek prawym przyciskiem myszy, aby anulować operację.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Нажмите на другой перекрёсток, чтобы разместить настраиваемый светофор.\n\nЩёлкните в любом месте дополнительной кнопкой мышки, чтобы отменить операцию.","Click on another junction to paste the timed traffic light.\n\nClick anywhere with your secondary mouse button to cancel the operation.",Strings.csv
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_AddJunction,向自定时红绿灯添加一个路口,"Add a junction to the timed traffic light","Add a junction to the timed traffic light","Add a junction to the timed traffic light","Add a junction to the timed traffic light","Ajouter une intersection à un feu de circulation chronométré","Füge der Ampelschaltung eine andere Kreuzung hinzu","Adjon hozzá egy kereszteződést az ütemezett lámpához","Add a junction to the timed traffic light",時間設定付き信号機に交差点を追加する,"교차로에 신호등 시간표 추가하는 방법","Dodaj skrzyżowanie do czasowej sygnalizacji","Add a junction to the timed traffic light","Добавить другой перекрёсток в шаблон светофора","Add a junction to the timed traffic light",Strings.csv
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_AddJunction,"单击另一个路口来添加：两个红绿灯将被连接从而定时器将会同时控制两个路口\n\n任意位置单击右键来取消","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Cliquez sur une autre intersection pour l'ajouter. Les deux feux seront associés de sorte que le programme chronométré contrôlera ensuite les deux intersections à la fois.\n\nCliquez n'importe où avec le bouton secondaire de la souris pour annuler l'opération.","Klicke auf eine andere Kreuzung, um sie der Schaltung hinzuzufügen. Die Ampelschaltung wird danach beide Kreuzungen gleichzeitig steuern.\n\nKlicke irgendwo mit der sekundären Maustaste, um die Operation abzubrechen.","Kattintson egy másik kereszteződésre a hozzáadásához. Mindkét lámpát összekapcsolják úgy, hogy az időzített program azután mindkét csomópontot egyszerre irányítsa. \n\nKattintson a másodlagos egérgombbal bárhol a művelet megszakításához.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","追加するには、他の交差点をクリックします。 両方の信号は、時間設定プログラムが両方の交差点を一度に制御するように結合されます。\n\n操作をキャンセルするには、マウスの右ボタンで任意の場所をクリックします。","다른 교차로를 클릭하여 추가하십시오. 선택된 교차로의 신호등들은 구성된 시간표와 신호에 맞게 같이 작동되게 됩니다.\n\n교차로에서 신호등 시간표를 추가하는 것을 중단하려면 마우스 우클릭을 클릭하십시오.","Kliknij na innym skrzyżowaniu, aby je dodać. Obydwa skrzyżowania zostaną połączone, ustawienia czasowej sygnalizacji będą działać na nich jednocześnie.\n\nKliknij gdziekolwiek prawym klawiszem myszy, aby anulować operację.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Нажмите на другой перекрёсток, чтобы добавить его. Программа с таймером будет контролировать светофоры на обоих перекрёстках одновременно.\n\nЩёлкните в любом месте дополнительной кнопкой мышки, чтобы отменить операцию.","Click on another junction to add it. Both lights will be joined such that the timed program will then control both junctions at once.\n\nClick anywhere with your secondary mouse button to cancel the operation.",Strings.csv
TMPE_TUTORIAL_HEAD_TimedTrafficLightsTool_RemoveJunction,从自定时红绿灯移除一个路口,"Remove a junction from the timed traffic light","Remove a junction from the timed traffic light","Remove a junction from the timed traffic light","Remove a junction from the timed traffic light","Retirer une intersection d'un feu de circulation chronométré","Entferne eine Kreuzung von der Ampelschaltung.","Távolítsa el a kereszteződést az időzített lámpáról","Remove a junction from the timed traffic light",時間設定付き信号機から交差点を削除する,"교차로에 신호등 시간표 제거하는 방법","Usuń skrzyżowanie spod kontroli czasowej sygnalizacji","Remove a junction from the timed traffic light","Удалите перекрёсток из схемы настраиваемого светофора","Remove a junction from the timed traffic light",Strings.csv
TMPE_TUTORIAL_BODY_TimedTrafficLightsTool_RemoveJunction,"单击一个由该定时器控制的路口：所选的红绿灯将被移除从而该定时器将不再控制它\n\n任意位置单击右键来取消","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Cliquez sur l'une des intersections contrôlées par ce programme chronométré. Le feu sélectionné sera supprimé de telle sorte que le programme chronométré ne le gérera plus.\n\nCliquez n'importe où avec le bouton secondaire de la souris pour annuler l'opération.","Klicke auf eine der Kreuzungen, die momentan von der Ampelschaltungen kontrolliert werden. Die selektierte Ampel wird entfernt, so dass die Ampelschaltung die Kreuzung nicht mehr kontrolliert.\n\nKlicke irgendwo mit der sekundären Maustaste, um die Operation abzubrechen.","Kattintson az egyik olyan csomópontra, amelyet ez az időzített program irányít. A kiválasztott jelzőlámpa eltávolításra kerül, így az időzített program már nem fogja kezelni. \n\nKattintson a másodlagos egérgombbal bárhol a művelet megszakításához.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","この時間設定プログラムによって制御されている交差点の1つをクリックします。 選択した信号機は削除され、時間設定プログラムによって管理されなくなります。\n\n操作をキャンセルするには、マウスの右ボタンで任意の場所をクリックします。","신호등 시간표가 구성되어 있는 교차로를 클릭하십시오. 클릭된 신호등은 더 이상 해당 시간표 통제를 받지않게 됩니다.\n\n교차로에서 신호등 시간표를 제거하는 것을 중단하려면 마우스 우클릭을 클릭하십시오.","Kliknij na jednym ze skrzyżować kontrolowanych przez czasową sygnalizację. Wybrane skrzyżowanie zostanie usunięte spod kontroli programu czasowej sygnalizacji.\n\nKliknij gdziekolwiek prawym klawiszem myszy, aby anulować operację.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.","Нажмите на один из перекрёстков, которые контролируются этой программой времени. Выбранный светофор будет удален таким образом, что программа с таймером больше не будет управлять им.\n\nЩёлкните в любом месте дополнительной кнопкой мышки, чтобы отменить операцию.","Click on one of the junctions that are controlled by this timed program. The selected traffic light will be removed such that the timed programm will no longer manage it.\n\nClick anywhere with your secondary mouse button to cancel the operation.",Strings.csv
Public_transport,公共交通,"Public transport","Public transport","Public transport","Public transport","Transport public","Öffentlicher Personennahverkehr",Tömegközlekedés,"Public transport",公共交通機関,"대중 교통","Transport publiczny","Public transport","Общественный транспорт","Public transport",Strings.csv
Prevent_excessive_transfers_at_public_transport_stations,公共交通避免非必要换乘,"Prevent unnecessary transfers at public transport stations","Prevent unnecessary transfers at public transport stations","Prevent unnecessary transfers at public transport stations","Prevent unnecessary transfers at public transport stations","Empêcher les transferts inutiles dans les stations de transport public","Verhindere übertriebenes Umsteigen an Haltestellen","Kerülje el a szükségtelen transzfereket a tömegközlekedési állomásokon","Prevent unnecessary transfers at public transport stations",公共交通機関での不必要な輸送を防ぐ,"시민들의 다른 대중교통 노선 이용 시 패턴 최적화","Zapobiegaj nadmiernej liczbie przesiadek na przystankach transportu publicznego","Prevent unnecessary transfers at public transport stations","Предотвращение ненужных пересадок на общественном транспорте","Prevent unnecessary transfers at public transport stations",Strings.csv
Compact_main_menu,紧凑主菜单,"Compact main menu","Compact main menu","Compact main menu","Compact main menu","Menu principal compact","Kompaktes Hauptmenü","Kompakt főmenü","Compact main menu",コンパクトメインメニュー,"TMPE 메뉴 아이콘 크게/작게 설정","Kompaktowe menu główne","Compact main menu","Компактное Главное меню","Compact main menu",Strings.csv
Window_transparency,窗口透明度,"Window transparency","Window transparency","Window transparency","Window transparency","Transparence de la fenêtre",Fenstertransparenz,"Ablak átlátszósága","Window transparency",ウィンドウの透明度,"패널 투명도(오른쪽으로 갈수록 투명함)","Przezroczystość okna","Window transparency","Прозрачность окна","Window transparency",Strings.csv
Overlay_transparency,覆盖透明度,"Overlay transparency","Overlay transparency","Overlay transparency","Overlay transparency","Transparence de l'interface",Overlaytransparenz,"Átlátszó fedvény","Overlay transparency",オーバーレイの透明度,"보조 아이콘 투명도(도로 위 표지판, 속도제한 아이콘 투명도 등)","Przezroczystość nakł.","Overlay transparency","Прозрачность элементов(оверлеев) TM:PE","Overlay transparency",Strings.csv
Remove_this_citizen,移除此居民,"Remove this citizen","Remove this citizen","Remove this citizen","Remove this citizen","Retirer ce citoyen","Diesen Cim entfernen","Távolítsa el ezt a polgárt","Remove this citizen",この市民を削除する,"해당 시민 삭제","Usuń tego mieszkańca","Remove this citizen","Удалить этого гражданина","Remove this citizen",Strings.csv
Remove_parked_vehicles,移除停放的车辆,"Remove parked vehicles","Remove parked vehicles","Remove parked vehicles","Remove parked vehicles","Retirer les véhicules stationnés","Entferne geparkte Autos","Távolítsa el a parkoló járműveket","Remove parked vehicles",駐車中の車両を取り除く,"주차된 차량 제거하기","Usuń zaparkowane pojazdy","Remove parked vehicles","Удалить припаркованный транспорт","Remove parked vehicles",Strings.csv
Node_is_level_crossing,此节点级别交汇，不可禁用红绿灯。,"This junction is a level crossing.\nYou cannot disable traffic lights here.","This junction is a level crossing.\nYou cannot disable traffic lights here.","This junction is a level crossing.\nYou cannot disable traffic lights here.","This junction is a level crossing.\nYou cannot disable traffic lights here.","Cette intersection est un passage à niveau.\nVous ne pouvez pas désactiver les feux de circulation ici.","Diese Kreuzung ist ein Bahnübergang.\nDu kannst die Ampeln hier nicht entfernen.","Ez a kereszteződés vasúti kereszteződés. \nTe itt nem kapcsolhatja ki a jelzőlámpákat.","This junction is a level crossing.\nYou cannot disable traffic lights here.","この交差点は踏切です。\nここで信号機を無効にすることはできません。","해당 교차로는 평면 교차로입니다.\n따라서 신호등을 설치할 수 없습니다","To jest przejazd kolejowy. \nNie możesz tutaj wyłączyć sygnalizacji!","This junction is a level crossing.\nYou cannot disable traffic lights here.","Это перекрёсток уровней.\nЗдесь нельзя отключить светофоры.","This junction is a level crossing.\nYou cannot disable traffic lights here.",Strings.csv
Experimental_features,实验特性,"Experimental features","Experimental features","Experimental features","Experimental features","Fonctionnalités expérimentales","Experimentelle Features","Kísérleti funkciók","Experimental features",実験的な機能,"실험 기능","Funkcje eksperymentalne","Experimental features","Экспериментальные функции","Experimental features",Strings.csv
Turn_on_red,红灯可转弯,"Turn on red","Turn on red","Turn on red","Turn on red","Tourner aux feux rouges","Turn on red","Kapcsolja be a pirosot","Girare ai semafori rossi",赤信号で曲がる,"빨간 신호등에서 우회전을 허용 규칙","Skręć w prawo na czerwonym","Virar nos semáforos vermelhos","Поворот направо на красный","Turn on red",Strings.csv
Vehicles_may_turn_on_red,车辆遇红灯可转弯,車輛可能會在紅色交通燈處轉彎,"Voertuigen kunnen bij rode verkeerslichten draaien","Vehicles may turn at red traffic lights","Vehicles may turn at red traffic lights","Les véhicules peuvent tourner aux feux rouges","Fahrzeuge dürfen an roten Ampeln abbiegen","A járművek piros lámpánál fordulhatnak","I veicoli possono girare ai semafori rossi",車両が赤信号で曲がることがある,"빨간 신호등에서 차량이 진입 할 수 있습니다.","Pojazdy mogą skręcić w prawo na czerwonym świetle","Veículos podem virar nos semáforos vermelhos","Разрешить поворот направо на красный сигнал светофора","Los vehículos pueden girar en los semáforos rojos.",Strings.csv
Also_apply_to_left/right_turns_between_one-way_streets,单行道左右转也适用,"Also apply to left & right turns between one-way streets","Also apply to left & right turns between one-way streets","Also apply to left & right turns between one-way streets","Also apply to left & right turns between one-way streets","Appliquer de même aux virages gauche/droite entre des rues à sens unique","Gilt auch für Links- & Rechtskurven zwischen Einbahnstraßen","Ugyanez vonatkozik az egyirányú utcák közötti bal és jobb fordulásra is","Also apply to left & right turns between one-way streets",一方通行路の左右の曲がり角にも適用,"빨간 신호등에서 우회전을 허용","Uwzględnia również skręt w lewo/prawo pomiędzy drogami jednokierunkowymi","Also apply to left & right turns between one-way streets","Разрешить направо/налево между улицами с односторонним движением","Also apply to left & right turns between one-way streets",Strings.csv
Scan_for_known_incompatible_mods_on_startup,启动时检测是否存在已知不兼容MOD,"Scan for known incompatible mods on startup","Scan for known incompatible mods on startup","Scan for known incompatible mods on startup","Scan for known incompatible mods on startup","Rechercher les mods incompatibles au lancement","Scan for known incompatible mods on startup","Keressen induláskor az ismert, nem kompatibilis modokat","Scan for known incompatible mods on startup","Scan for known incompatible mods on startup","게임 실행시 비호환되는 모드 스캔","Uruchamiaj sprawdzanie przy starcie gry","Scan for known incompatible mods on startup","Сканирование известных несовместимых модов при запуске","Scan for known incompatible mods on startup",Strings.csv
Ignore_disabled_mods,忽略未启用MOD,"Ignore disabled mods","Ignore disabled mods","Ignore disabled mods","Ignore disabled mods","Ignorer les mods désactivés","Ignore disabled mods","Figyeljen a letiltott modokra","Ignore disabled mods","Ignore disabled mods","비활성화된 모드 무시하기","Ignoruj wyłączone mody","Ignore disabled mods","Игнорировать отключённые моды","Ignore disabled mods",Strings.csv
Traffic_Manager_detected_incompatible_mods,检测到的不兼容MOD,"detected incompatible mods","detected incompatible mods","detected incompatible mods","detected incompatible mods","a détecté des mods incompatibles","detected incompatible mods","nem kompatibilis modokat észlelt","detected incompatible mods","detected incompatible mods","와 비호환되는 모드 감지","wykrył niekompatybilne mody","detected incompatible mods","обнаружил несовместимые моды","detected incompatible mods",Strings.csv
Notify_me_if_there_is_an_unexpected_mod_conflict,检测到不兼容MOD时提示,"Notify me if there is an unexpected mod conflict","Notify me if there is an unexpected mod conflict","Notify me if there is an unexpected mod conflict","Notify me if there is an unexpected mod conflict","Afficher un message d'erreur si un mod incompatible est détecté","Zeige Fehlermeldung, wenn eine Mod-Inkompatibilität erkannt wurde","Értesítsen, ha váratlan mod ütközés lép fel","Notify me if there is an unexpected mod conflict",modの非互換性が検出された場合にエラーメッセージを表示す,"모드와 비 호환되는 모드 발견 시 에러 보여주기","Powiadom mnie w razie nieoczekiwanej niezgodność modów","Notify me if there is an unexpected mod conflict","Показывать сообщение об ошибке при несовместимости модов","Notify me if there is an unexpected mod conflict",Strings.csv
Unsubscribe,取消订阅,Unsubscribe,Unsubscribe,Unsubscribe,Unsubscribe,Désabonner,Abmelden,Leiratkozás,Unsubscribe,Unsubscribe,Unsubscribe,Odsubskrybuj,Unsubscribe,Отписаться,Desuscribir,Strings.csv
Keybind_toggle_TMPE_main_menu,TM:PE主菜单,"Toggle TM:PE Main Menu","Toggle TM:PE Main Menu","Toggle TM:PE Main Menu","Toggle TM:PE Main Menu","Bascule vers le Menu Principal de TM:PE","TM:PE-Hauptmenü umschalten","Toggle TM: PE Főmenü","Toggle TM:PE Main Menu","Toggle TM:PE Main Menu","Toggle TM:PE Main Menu","Menu TM:PE","Toggle TM:PE Main Menu","Показать или скрыть меню TM:PE","Toggle TM:PE Main Menu",Strings.csv
Keybind_toggle_traffic_lights_tool,「红绿灯增删」工具,"Use 'Toggle Traffic Lights' Tool","Use 'Toggle Traffic Lights' Tool","Use 'Toggle Traffic Lights' Tool","Use 'Toggle Traffic Lights' Tool","Utiliser l'outil 'Bascule vers les Feux tricolores'","Werkzeug 'Ampeln setzen' verwenden","Használja a „Forgalmi lámpák átkapcsolása” eszközt","Use 'Toggle Traffic Lights' Tool","Use 'Toggle Traffic Lights' Tool","Use 'Toggle Traffic Lights' Tool","Narzędzie 'Przełącznik Sygnalizacji świetlnej'","Use 'Toggle Traffic Lights' Tool","Инструмент ""Установка светофора""","Use 'Toggle Traffic Lights' Tool",Strings.csv
Keybind_use_lane_arrow_tool,「变更车道方向」工具,"Use 'Lane Arrow' Tool","Use 'Lane Arrow' Tool","Use 'Lane Arrow' Tool","Use 'Lane Arrow' Tool","Utiliser l'outil 'Flèchage des voies'","Werkzeug 'Richtungspfeile' verwenden","Használja a 'Lane Arrow' eszközt","Use 'Lane Arrow' Tool","Use 'Lane Arrow' Tool","Use 'Lane Arrow' Tool","Narzędzie 'Strzałki pasów ruchu'","Use 'Lane Arrow' Tool","Инструмент ""Стрелки движения""","Use 'Lane Arrow' Tool",Strings.csv
Keybind_use_lane_connections_tool,「车道连接」工具,"Use 'Lane Connections' Tool","Use 'Lane Connections' Tool","Use 'Lane Connections' Tool","Use 'Lane Connections' Tool","Utiliser l'outil 'Connections des voies'","Werkzeug 'Fahrspurverbinder' verwenden","Használja a „Lane Connections” eszközt","Use 'Lane Connections' Tool","Use 'Lane Connections' Tool","Use 'Lane Connections' Tool","Narzędzie 'Połącz pasy ruchu'","Use 'Lane Connections' Tool","Инструмент ""Линии движения""","Use 'Lane Connections' Tool",Strings.csv
Keybind_use_priority_signs_tool,「优先通行权设置」工具,"Use 'Priority Signs' Tool","Use 'Priority Signs' Tool","Use 'Priority Signs' Tool","Use 'Priority Signs' Tool","Utilisee l'outil 'Routes prioritaires'","Werkzeug 'Vorfahrtsschilder' verwenden","Használja az „Elsőbbségi jelek” eszközt","Use 'Priority Signs' Tool","Use 'Priority Signs' Tool","Use 'Priority Signs' Tool","Narzędzie 'Znaki pierwszeństwa'","Use 'Priority Signs' Tool","Инструмент ""Знаки приоритета""","Use 'Priority Signs' Tool",Strings.csv
